company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
Yang Ming Marine Transport,,"Keelung, Taiwan",,"Yang Ming Marine Transport Corp. engages in the provision of global marine transportation services. Its services include liner service, terminal service, and cultural undertakings. Yang Ming offers scheduled container transportation service across Asia, Europe, America, and Australia. It invests in terminals at Kaohsiung and Taipei Harbors in Taiwan, Los Angeles in the United States, and Antwerp in Belgium. It also operates museums and organizes exhibitions and other activities to raise public awareness of marine culture and to promote maritime cultural education. The company was founded on December 28, 1972 and is headquartered in Keelung, Taiwan. Read Less",Transportation,,Keelung,Taiwan,,,$12.6B,$16.5B,$6.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shu Chin Tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarMax,NYSE: KMX,"Richmond, Virginia",$70.62,"CarMax, Inc. is a holding company, which engages in the retail of used vehicles and wholesale vehicle auction operator. It operates through the CarMax Sales Operations and CarMax Auto Finance (CAF) segments. The CarMax Sales Operations segment consists of all aspects of its auto merchandising and service operations. The CAF segment provides vehicle financing to customers buying retail vehicles. The company was founded by Richard L. Sharp and William Austin Ligon in September 1993 and is headquartered in Richmond, VA.",Retail and Wholesale,1993,"Richmond, Virginia",United States,,"32,647",$29.7B,$26.6B,$484.8M,70.66,70.16,69.61 x 71.19,"886,817",55.77 x 87.50,$11.15B,22.58,21.33,3.13,N/A,N/A,N/A,0.40,1.85,1.89,39.35,23.67,1.07,11.62%,2.72%,1.76%,1.81%,8.64%,$26.63B,178.47,-14.53%,$1.01B,-11.39%,-12.49,$605.38M,3.83,$19.71B,326.11%,2.45,Outperform,80.73,44.00 to 135.00,2.58 to 4.03,3.31,$26.94B,$25.26B to $29.61B,Bill Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerdau (Cosigua),,"São Paulo, Brazil",,"Gerdau SA engages in the production and commercialization of steel products. It operates through the following segments: Brazil Operation, North America Operation, South Africa Operation, and Special Steels Operation. The Brazil Operation segment includes rebar, bars, shapes, drawn products, billets, blooms, slabs; wire rod, structural shapes, and iron ore. The North America Operation segment consists of rebar, bars, wire rod, and light and heavy structural shapes. The South Africa Operation segment covers rebar, bars, and drawn products. The Special Steels Operation segment comprises of stainless steel, round, square and flat bars, and wire rod. The company was founded by João Gerdau and Hugo Gerdau on January 16, 1901 and is headquartered in Sao Paulo, Brazil. Read Less",Materials,1901,São Paulo,Brazil,,,$15.7B,$14.9B,$2.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gustavo Werneck da Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formosa Plastics,,"Taipei, Taiwan",,"Formosa Plastics Corp. manufactures and sells intermediate raw materials for plastics. Its products include polyvinyl chloride, high-density polyethylene, low-density polyethylene, linear low-density polyethylene, polyethylene wax, polypropylene, polyoxymethylene, masterbatch, liquid caustic soda, liquid chlorine, acrylonitrile, acetonitrile, methyl methacrylate, methacrylic acid, epichlorohydrin, methyl tert-butyl ether, acrylic acid and esters, carbon fibre, sodium hypochlorite, chlorinated solvent, hydrogen, lithium-ion battery electrolyte, calcium carbonate, distributed control systems systems, warehouse management systems, and learning management systems. Its products are used in packaging materials, bottles, articles of clothing, toy dolls, medical materials, sports equipment, sporting goods, auto parts, generation timber, motor parts, wires and cables, ships aerospace, paint coating, chemical building materials, waterproof insulation, furniture furnishings, tool parts, 3C parts coated, 3C shell timber, masterbatch pigments, additives, clean bleach, bottle box barrels, and dry water retention. The company was founded on November 5, 1954 and is headquartered in Kaohsiung, Taiwan. Read Less",Chemicals,1954,Taipei,Taiwan,,,$8.4B,$16.6B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chien Nan Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL ,,"Huizhou, China",,"TCL Technology Group Corp. engages in the manufacture of household appliances and multimedia products. Its business segments include product, service, and venture capital and investment businesses. Its Product business consists of semiconductor display, brand terminal product, electronics, business systems, and parts and materials industries. Its business activities encompass development, production and sale of semiconductor display panels, liquid crystal display television, mobile phones, household appliances, audio and video products, and wireless intelligent interconnect products; business to business platforms; and web conferencing and webcasting support services. Its Service business covers internet application and service, sales and logistics service, and financial businesses. It provides home and mobile internet applications, online to offline platforms, and industrial financial services. Its Venture Capital and Investment business involves in project investment focusing on new materials, new energy, consumer, and high end manufacturing industries. The company was founded by Dong Sheng Li in 1981 and is headquartered in Huizhou, China. Read Less",Technology Hardware & Equipment,1981,Huizhou,China,,"69,828",$24B,$55.2B,-$239.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dong Sheng Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Connections,,"Woodbridge, Canada",,"Waste Connections, Inc. engages in the provision of solid waste services. Its services include waste collection, transfer, disposal, treatment and recycling. It also provides non-hazardous exploration and production, waste treatment, recovery and disposal services. The company was founded by Ronald J. Mittelstaedt on September 9, 1997 and is headquartered in Vaughan, Canada.",Transportation,2002,Woodbridge,Canada,,"22,109",$7.5B,$17.2B,$851.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald J. Mittelstaedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayan Resources,,"Jakarta, Indonesia",,Bayan Resources Tbk PT is a coal producer.  The Company extracts thermal c oal from surface open cut mines.,Materials,2004,Jakarta,Indonesia,,"3,364",$4.7B,$3.9B,$2.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuck Kwong Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeronimo Martins,,"Lisbon, Portugal",,"Jerónimo Martins SGPS SA engages in the production, distribution and selling of food and other fast moving consumer goods product. It operates through the following segments: Portugal Retail; Portugal Cash & Carry, Poland Retail and Others, Eliminations & Adjustments. The Portugal Retail segment comprises the business unit of JMR (Pingo Doce supermarkets) and with the brand Biedronka. The Portugal Cash & Carry segment includes the wholesale business unit Recheio. The Poland Retail segment operates under Biedronka banner. The Others, Eliminations, and Adjustments segment includes unties with reduced materiality like Marketing Services and Representations. The company was founded by Jerónimo Martins in 1792 and is headquartered in Lisbon, Portugal. Read Less","Food, Soft Beverages, Alcohol & Tobacco",1792,Lisbon,Portugal,,"131,094",$27.7B,$12.6B,$666.6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedro Manuel de Castro Soares dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu Electric Power,,"Nagoya, Japan",,"Chubu Electric Power Co., Inc. engages in the supply of electricity, gas, and on-site energy. It also provides overseas consulting and investment, as well as, real estate management service and IT business. It operates through the following segments: Electric Power, Energy, and Others. The Electric Power segment supplies electric power to residential, commercial, and industrial customers. The Energy Segment sells gas and liquefied natural gas, and provides energy systems such as co-generation systems. The Others segment includes overseas energy business. The company was founded on May 1, 1951 and is headquartered in Nagoya, Japan. Read Less",Utilities,1951,Nagoya,Japan,,"28,238",$29.4B,$48.5B,$282.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akihisa Mizuno,,,,,,,,,,,,,,,,,,,,,,,,,,
Agilent Technologies,NYSE: A,"Santa Clara, California",$135.33,"Agilent Technologies, Inc. engages in the provision of application focused solutions for life sciences, diagnostics, and applied chemical markets. It operates through the following segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers application-focused solutions that include instruments and software that enable to identify, quantify, and analyze the physical and biological properties of substances and products, as well as the clinical and life sciences research areas to interrogate samples at the molecular and cellular level. The Diagnostics and Genomics segment comprises activity providing active pharmaceutical ingredients for oligo-based therapeutics as well as solutions that include reagents, instruments, software, and consumables. The Agilent CrossLab segment includes startup, operational, training and compliance support, software as a service, and asset management and consultative services. The company was founded in May 1999 and is headquartered in Santa Clara, CA. Read Less",Health Care Equipment & Services,1999,"Santa Clara, California",United States,,"18,000",$6.9B,$10.9B,$1.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike McMullen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant Brands International,,"Toronto, Canada",,"Restaurant Brands International LP is engaged in the provision of service restaurants. It offers the services under TIM HORTONS, BURGER KING, and POPEYES brands. The company was founded in 1954 and is headquartered in Toronto, Canada.",Restaurants,2014,Toronto,Canada,,"6,400",$6.6B,$22.5B,$1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Eduardo Cil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South32,,"Perth, Australia",,"South32 Ltd. operates as a metal and mining company. It operates through the following segments: Worsley Alumina, South Africa Aluminium, Mozal Aluminium, Brazil Alumina, South Africa Energy Coal, Illawarra Metallurgical Coal, Australia Manganese, South Africa Managanese, Cerro Matoso, and Cannington. The Worsley Alumina segment offers bauxite mine and alumina refinery in Western Australia. The South Africa Aluminium segment offers aluminium smelters at Richards Bay, South Africa. The Mozal Aluminium segment includes aluminium smelter in Mozambique. The Brazil Alumina segment covers alumina refinery in Brazil. The South Africa Energy Coal segment comprises of open-cut and underground energy coal mines and processing operations in South Africa. The Illawarra Metallurgical Coal segment consists of underground metallurgical coal mines in New South Wales, Australia. The Australia Manganese segment produces manganese ore in the Northern Territory and manganese alloys in Tasmania. The South Africa Manganese segment involves in the production of ore and alloy in South Africa. The Cerro Matoso segment includes laterite ferronickel mining and smelting complex in Colombia. The Cannington segment explores silver, lead, and zinc. The company was founded in May 2015 and is headquartered in Perth, Australia. Read Less",Materials,2015,Perth,Australia,,"9,096",$8.9B,$15.8B,$2.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graham Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenntag,,"Essen, Germany",,"Brenntag AG engages in the production and distribution of chemicals. It operates through the following geographical segments: North America, Latin America, EMEA (Europe, Middle East, and Africa), and Asia Pacific. It also manages supply chains for both chemical manufacturers and consumers by simplifying market access to thousands of products and services. The company was founded by Philipp Mühsam in 1874 and is headquartered in Essen, Germany.",Trading Companies,2006,Essen,Germany,,"17,540",$20.4B,$12.3B,$932M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Kohlpaintner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banque Saudi Fransi,,"Riyadh, Saudi Arabia",,"Banque Saudi Fransi engages in the provision of commercial banking services and financial solutions. It operates through the following segments: Retail Banking, Corporate Banking, Treasury, and Investment Banking and Crokerage. The Retail Banking segment incorporates private and small establishment customers' demand accounts, overdrafts, loans, saving accounts, deposits, credit and debit cards, consumer loans, and certain foreign exchange products. The Corporate Banking segment consolidates corporate and medium customer's demand accounts, deposits, overdrafts, loans, and other credit facilities and derivative products. The Treasury segment integrates treasury services, trading activities, investment securities, money market, bank's funding operations, and derivative products. The Investment Banking and Brokerage segment includes investment management services and asset management activities. The company was founded on June 4, 1977 and is headquartered in Riyadh, Saudi Arabia. Read Less",Banking,1977,Riyadh,Saudi Arabia,,"3,105",$2.8B,$61.8B,$952.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bader Al Salloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Cooperative Financial,,"Taipei, Taiwan",,"Taiwan Cooperative Financial Holding Co., Ltd. engages in the operation and management of banks. Its business activities include credit cards, trust funds, insurance, foreign investment in financial institutions, mutual funds, and stock exchange. The company was founded on December 1, 2011 and is headquartered in Taipei, Taiwan.",Banking,1946,Taipei,Taiwan,,"9,713",$2.5B,$145.6B,$679.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mei Tsu Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wens Foodstuff Group,,"Yunfu, China",,"Wen's Foodstuff Group Co., Ltd. engages in the farming, breeding and marketing of broiler, chicken and pig. It also offers bio-pharmacy and food processing services. Its products include ducks meat, laying hens, deep-sea fish, sheep & pig meat and other dairy and food products. The company also engages in the manufacturing of modern agriculture and animal husbandry equipment's. The company was founded in 1983 and is headquartered in Yunfu, China.","Food, Drink & Tobacco",1993,Yunfu,China,,"49,331",$13B,$14.2B,$919.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ju Ran Yan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo,,"Rome, Italy",,"Leonardo SpA engages in the aerospace, defense and security sectors. It operates through the following segments: Helicopters; Defense and Security Electronics; Aeronautics; Space, Defense Systems; and Other Activities. The Helicopters segment designs commercial and military rotorcrafts. The Defense and Security Electronics segment engages in the information management, sensors, and systems integration business, as well as delivers systems for critical missions, military sustainment requirements, and homeland security. The Aeronautics segment produces complete tactical airlifters, combat aircraft, and unmanned air vehicles for both civil and military applications. The Space segment develops satellite systems for navigation, telecommunications, meteorology, environmental monitoring, defense, scientific missions, and earth observation. The Defense Systems segment produces missile systems, torpedoes, naval artillery, and armored vehicles. The Other Activities segment includes financial support, real estate holdings, machinery, and plants for processing aluminum and steel products, contracting services for electricity generation, and primary aluminum production. The company was founded on March 18, 1948 and is headquartered in Rome, Italy. Read Less",Aerospace & Defense,1948,Rome,Italy,,"51,392",$15.5B,$30.5B,$974.3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Cingolani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
